title;accredited;habr member;rating;location;size;vacancies count;company url;parsing url;timestamp
Okko;false;true;4.07;Санкт-Петербург;От 100 до 1000 сотрудников;9;https://career.habr.com/companies/okko;https://career.habr.com/companies?page=2&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:36.7450266
ВСК;false;true;3.86;Москва;Более 5000 сотрудников;8;https://career.habr.com/companies/vsk;https://career.habr.com/companies?page=2&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:36.7450266
Банк «Открытие»;false;true;3.6;Москва;Более 5000 сотрудников;8;https://career.habr.com/companies/openbank;https://career.habr.com/companies?page=2&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:36.7450266
СберМаркет;false;true;4.11;Москва;От 100 до 1000 сотрудников;7;https://career.habr.com/companies/sbermarket;https://career.habr.com/companies?page=2&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:36.7460269
Домклик;false;true;4.57;Москва;От 1000 до 5000 сотрудников;7;https://career.habr.com/companies/domclick;https://career.habr.com/companies?page=2&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:36.7460269
Звук;true;false;4.31;Москва;От 100 до 1000 сотрудников;7;https://career.habr.com/companies/zvuk;https://career.habr.com/companies?page=2&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:36.7460269
NAUMEN;false;true;4.63;Москва;От 100 до 1000 сотрудников;6;https://career.habr.com/companies/nau-men;https://career.habr.com/companies?page=2&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:36.7460269
QIWI;false;true;4.73;Москва;От 1000 до 5000 сотрудников;6;https://career.habr.com/companies/qiwi;https://career.habr.com/companies?page=2&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:36.7460269
СофтТелематика;true;false;4.73;Москва;От 100 до 1000 сотрудников;6;https://career.habr.com/companies/softtelematika;https://career.habr.com/companies?page=2&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:36.7470271
GlowByte;false;true;4.47;Москва;От 1000 до 5000 сотрудников;5;https://career.habr.com/companies/glowbyte;https://career.habr.com/companies?page=2&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:36.7470271
Моризо Digital;true;false;4.58;Нижний Новгород;От 10 до 100 сотрудников;5;https://career.habr.com/companies/morizo;https://career.habr.com/companies?page=2&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:36.7470271
MediaSoft;true;false;4.84;Ульяновск;От 100 до 1000 сотрудников;5;https://career.habr.com/companies/mediasoft;https://career.habr.com/companies?page=2&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:36.7470271
Mercury Development;false;false;4.67;Самара;От 100 до 1000 сотрудников;4;https://career.habr.com/companies/mercdev-com;https://career.habr.com/companies?page=2&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:36.7480271
Alternativa Games;false;false;4.53;Пермь;От 10 до 100 сотрудников;4;https://career.habr.com/companies/alternativagames-url;https://career.habr.com/companies?page=2&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:36.7480271
Right Line;false;false;4.73;Москва;От 10 до 100 сотрудников;4;https://career.habr.com/companies/rightline;https://career.habr.com/companies?page=2&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:36.7480271
Лига Цифровой Экономики;true;true;4.21;Москва;Более 5000 сотрудников;4;https://career.habr.com/companies/digitalleague;https://career.habr.com/companies?page=2&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:36.7490275
Мир Plat.Form (НСПК);false;true;4.72;Москва;От 1000 до 5000 сотрудников;3;https://career.habr.com/companies/nspk;https://career.habr.com/companies?page=2&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:36.7490275
Ростелеком Информационные Технологии;false;false;4.22;Москва;От 1000 до 5000 сотрудников;3;https://career.habr.com/companies/rtk-it;https://career.habr.com/companies?page=2&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:36.7490275
CINIMEX;true;false;4.75;Москва;От 100 до 1000 сотрудников;3;https://career.habr.com/companies/cinimex;https://career.habr.com/companies?page=2&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:36.7490275
Ростелеком-Солар;true;true;4.38;Москва;От 1000 до 5000 сотрудников;3;https://career.habr.com/companies/solarsecurity;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.8977055
Nexign;true;true;4.16;Санкт-Петербург;От 1000 до 5000 сотрудников;3;https://career.habr.com/companies/nexign;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.8987053
HFLabs;true;true;4.86;Москва;От 10 до 100 сотрудников;3;https://career.habr.com/companies/hflabs;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.8987053
СберКорус;false;true;3.65;Санкт-Петербург;От 1000 до 5000 сотрудников;3;https://career.habr.com/companies/esphere;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.8987053
AGIMA;true;true;4.66;Москва;От 100 до 1000 сотрудников;3;https://career.habr.com/companies/agima;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.8987053
Ситимобил;false;true;4.21;Москва;От 1000 до 5000 сотрудников;3;https://career.habr.com/companies/citymobil;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.8987053
IRLIX;true;false;4.42;Ульяновск;От 100 до 1000 сотрудников;2;https://career.habr.com/companies/irlix;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.8987053
Циан;true;true;4.74;Москва;От 100 до 1000 сотрудников;2;https://career.habr.com/companies/cian-url;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.899706
Mechanica;true;false;4.82;Самара;От 10 до 100 сотрудников;2;https://career.habr.com/companies/mechanica-agency;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.899706
Eltex;true;false;3.97;Новосибирск;От 1000 до 5000 сотрудников;2;https://career.habr.com/companies/eltex;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.899706
WaveAccess;true;false;4.52;Санкт-Петербург;От 100 до 1000 сотрудников;2;https://career.habr.com/companies/company-waveaccess;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.899706
Renue;false;false;4.83;Екатеринбург;От 10 до 100 сотрудников;2;https://career.habr.com/companies/renue;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.899706
Центр Финансовых Технологий;false;true;3.87;Новосибирск;От 1000 до 5000 сотрудников;2;https://career.habr.com/companies/cft;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.899706
Orion Innovation;true;true;3.86;Нижний Новгород;От 1000 до 5000 сотрудников;1;https://career.habr.com/companies/orioninc;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.899706
Группа компаний FIX;false;false;4.28;Казань;От 100 до 1000 сотрудников;1;https://career.habr.com/companies/company-fix;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.902707
ЭР-Телеком Холдинг;false;false;3.33;Москва;Более 5000 сотрудников;1;https://career.habr.com/companies/ertelecom;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.902707
BIA-Technologies;true;false;4.81;Санкт-Петербург;От 100 до 1000 сотрудников;1;https://career.habr.com/companies/biatech;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.902707
Reliable systems;false;false;4.8;Пенза;От 10 до 100 сотрудников;1;https://career.habr.com/companies/relsys;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.9037076
Sibdev;false;false;4.07;Красноярск;От 10 до 100 сотрудников;1;https://career.habr.com/companies/sibdev;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.9037076
ЮMoney;false;true;4.28;Москва;От 100 до 1000 сотрудников;1;https://career.habr.com/companies/yoomoneyru;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.9047085
RapidSoft;true;true;4.86;Москва;От 10 до 100 сотрудников;1;https://career.habr.com/companies/rapidsoft;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.9047085
Fabrique;false;false;3.37;Москва;От 10 до 100 сотрудников;1;https://career.habr.com/companies/fabrique;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.9047085
A2SEVEN;true;true;4.67;Таганрог;От 10 до 100 сотрудников;1;https://career.habr.com/companies/a2seven;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.9057081
DatsTeam;false;false;4.5;;От 100 до 1000 сотрудников;1;https://career.habr.com/companies/datsteam-url;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.9057081
Sibedge;false;false;4.56;;От 100 до 1000 сотрудников;1;https://career.habr.com/companies/sibedge;https://career.habr.com/companies?page=3&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:37.9057081
Связной;false;false;3.18;Москва;Более 5000 сотрудников;0;https://career.habr.com/companies/svyaznoy;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.058907
ФИНАМ;false;false;4.07;Москва;От 1000 до 5000 сотрудников;0;https://career.habr.com/companies/finam;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.058907
Align Technology;false;true;4.61;Москва;От 1000 до 5000 сотрудников;0;https://career.habr.com/companies/aligntechnology;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0599075
Аплана Софтвер;false;false;3.74;Москва;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/aplana-soft;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0609087
Scrile;false;false;4.83;Новосибирск;От 10 до 100 сотрудников;0;https://career.habr.com/companies/softservice;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0609087
Eastwind;false;false;4.08;Екатеринбург;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/eastwind;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0609087
Fastdev AB;false;false;4.33;Стокгольм;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/fastdev;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0609087
М.Видео-Эльдорадо;false;true;3.69;Москва;Более 5000 сотрудников;0;https://career.habr.com/companies/mvideo-eldorado;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0609087
Mobile Dimension;false;true;4.5;Москва;От 10 до 100 сотрудников;0;https://career.habr.com/companies/mobiledimension;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0619085
Ventra, Ventra Go!;false;false;3.73;Москва;Более 5000 сотрудников;0;https://career.habr.com/companies/ventrait;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0619085
Строительный Двор;false;false;4.17;Тюмень;От 1000 до 5000 сотрудников;0;https://career.habr.com/companies/sdvor;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0619085
Облачные технологии;false;false;4.12;Нижний Новгород;От 10 до 100 сотрудников;0;https://career.habr.com/companies/cloudstechnologies;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0619085
Росэлторг;false;true;4.53;Москва;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/roseltorg;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0629084
App-Smart;false;false;4.48;Краснодар;От 10 до 100 сотрудников;0;https://career.habr.com/companies/app-smart;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0629084
CloudAlly a Zix company;false;false;4.47;Раанана;От 10 до 100 сотрудников;0;https://career.habr.com/companies/cloudally;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0649087
Ассоциация ОПТИМ;false;false;4.9;;От 10 до 100 сотрудников;0;https://career.habr.com/companies/optim;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0709102
Percona;false;false;4.65;Рейли-Дурам;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/percona;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0719109
Datana;false;true;4.7;Москва;От 10 до 100 сотрудников;0;https://career.habr.com/companies/datana;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0719109
Специальный Технологический Центр;false;false;3.43;Санкт-Петербург;От 1000 до 5000 сотрудников;0;https://career.habr.com/companies/stc-spb;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0719109
Teamlead;false;false;4.71;Краснодар;От 10 до 100 сотрудников;0;https://career.habr.com/companies/teamleadcom;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0719109
ТомскАСУпроект;false;false;3.99;Томск;От 10 до 100 сотрудников;0;https://career.habr.com/companies/tomskasu;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0729111
KMS Lighthouse;false;false;4.57;Санкт-Петербург;От 10 до 100 сотрудников;0;https://career.habr.com/companies/kmslh;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0729111
Web3 Tech;true;true;4.69;Москва;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/web3tech;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0729111
Метр квадратный;true;true;4.81;Москва;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/m2tech;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0729111
Stream;false;false;4.17;Москва;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/streamllc;https://career.habr.com/companies?page=4&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:39.0729111
HR Prime;false;false;4.77;Москва;От 10 до 100 сотрудников;0;https://career.habr.com/companies/hrprime;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1087432
SSP SOFT;true;false;4.72;Москва;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/ssp-soft;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1097443
Crystal Service Integration;false;true;4.15;Санкт-Петербург;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/csi;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1097443
ROGII;false;false;4.66;Москва;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/rogii;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1097443
Честный ЗНАК;true;true;4.58;Москва;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/chestnyznak;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1097443
Grid Dynamics;false;false;4.45;;От 1000 до 5000 сотрудников;0;https://career.habr.com/companies/griddynamics;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1097443
Рексофт;false;true;4.64;Санкт-Петербург;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/reksoft;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1097443
Dell Technologies;false;true;4.47;Москва;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/delltechnologies;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1097443
Raft Digital Solutions;false;false;4.04;Ярославль;От 10 до 100 сотрудников;0;https://career.habr.com/companies/raft;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1107454
Deutsche Bank;false;true;4.25;Москва;Более 5000 сотрудников;0;https://career.habr.com/companies/db;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1107454
Napoleon it;false;false;4.53;Челябинск;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/napoleonit;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1107454
Skillbox;false;true;4.03;Москва;От 1000 до 5000 сотрудников;0;https://career.habr.com/companies/skillbox;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1117454
Aero;true;false;4.54;Москва;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/aero;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1117454
Nord Clan;true;false;4.54;Ульяновск;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/nordclan;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1117454
Диасофт;true;false;3.95;Москва;От 1000 до 5000 сотрудников;0;https://career.habr.com/companies/diasoft;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1117454
Yota;false;true;4.46;Санкт-Петербург;От 1000 до 5000 сотрудников;0;https://career.habr.com/companies/yota;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1117454
Ньютон Технологии;false;false;4.62;Москва;От 10 до 100 сотрудников;0;https://career.habr.com/companies/nwtn-group;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1117454
BCS FinTech;false;true;3.69;Москва;Более 5000 сотрудников;0;https://career.habr.com/companies/bcs;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1127457
iFellow;true;false;4.63;Москва;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/ifellow;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1127457
Ozon Tech;false;true;4.35;Москва;От 1000 до 5000 сотрудников;0;https://career.habr.com/companies/ozon;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1127457
Haulmont;true;true;4.6;Самара;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/haulmont;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1127457
ОТР;true;true;4.28;Москва;От 1000 до 5000 сотрудников;0;https://career.habr.com/companies/otr;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1137453
Работа.ру;true;true;4.41;Москва;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/rabota-ru;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1147451
ИнфоТеКС;true;false;3.51;Москва;От 1000 до 5000 сотрудников;0;https://career.habr.com/companies/infotecs;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1147451
Netcracker Technology;false;true;4.16;Москва;Более 5000 сотрудников;0;https://career.habr.com/companies/netcrackercom;https://career.habr.com/companies?page=5&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:40.1147451
AT Consulting;false;true;3.86;Москва;От 1000 до 5000 сотрудников;0;https://career.habr.com/companies/at-consulting;https://career.habr.com/companies?page=6&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:41.3753316
Star-staff;false;false;4.1;Москва;От 10 до 100 сотрудников;0;https://career.habr.com/companies/star-staff;https://career.habr.com/companies?page=6&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:41.3753316
HeadHunter;false;true;4.64;Москва;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/hh;https://career.habr.com/companies?page=6&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:41.3773324
DIS Group;false;false;4.89;Москва;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/dis-group;https://career.habr.com/companies?page=6&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:41.3773324
Ready for Sky;false;true;3.03;Санкт-Петербург;От 10 до 100 сотрудников;0;https://career.habr.com/companies/readyforsky;https://career.habr.com/companies?page=6&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:41.3773324
Altarix;false;false;2.6;Москва;От 100 до 1000 сотрудников;0;https://career.habr.com/companies/company-altarix;https://career.habr.com/companies?page=6&skills%5B%5D=1012&with_ratings=1;2022-11-14 09:21:41.3773324
